AVGDNSTRMQAMUTLZN,Bundle,Market,Node Health,IPDR DOWN,IPDR UP,Observation Count,Actual Rate,Predicted Rate
LOW,Internet/Voice,Michigan,"02 [0.1236, 0.597]","03 [5.13, 8.53]","03 [0.26, 0.41]",58,0.000000,0.0005520574376
LOW,Internet/Voice,South Carolina,NULL,"01 [0.02, 2.13]","00 [-0.00, 0.009]",10,0.000000,0.001655552276
> 0.95,Internet/Voice,South Texas,"08 [9.1684, 16.5179]","03 [5.13, 8.53]","05 [0.59, 0.81]",7,0.000000,0.0005024554069
> 0.95,Internet/Voice,West Florida,"07 [5.4369, 9.1667]","05 [12.29, 16.54]","03 [0.26, 0.41]",7,0.000000,0.0006086776422
HIGH,Video/Internet/Voice,Hawaii,NULL,"03 [5.13, 8.53]","07 [1.13, 1.65]",1,0.000000,0.001075810454
HIGH,Video/Internet/Voice,So Cal Central,"05 [1.9149, 3.2258]","08 [28.685, 40.36]","09 [2.80, 440.64]",27515,0.000872,0.0009749027503
HIGH,Internet Only,Southern New England,"07 [5.4369, 9.1667]","08 [28.685, 40.36]","07 [1.13, 1.65]",51725,0.000174,0.0003435103326
HIGH,Internet Only,Southern New England,"09 [16.5192, 100.0]","03 [5.13, 8.53]","01 [0.009, 0.13]",6892,0.000145,0.0002920299925
HIGH,Video/Internet/Voice,Wisconsin,"04 [1.1254, 1.9139]","06 [16.54, 21.71]","06 [0.81, 1.13]",17474,0.000744,0.0008720541327
ZERO,Video/Internet,Brooklyn / Queens,"07 [5.4369, 9.1667]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",3434,0.002621,0.001975638816
HIGH,Video/Internet,Manhattan / Staten Is / Mt Ver,"07 [5.4369, 9.1667]","09 [40.36, 1134.70]","09 [2.80, 440.64]",5669,0.000353,0.0009778400144
HIGH,Video/Internet,Pacific Northwest,"04 [1.1254, 1.9139]",NULL,NULL,15420,0.000519,0.0006997554268
HIGH,Internet Only,Eastern NC,"08 [9.1684, 16.5179]","08 [28.685, 40.36]","02 [0.13, 0.26]",3620,0.000276,0.0004991797553
HIGH,Internet Only,Kentucky,"04 [1.1254, 1.9139]","02 [2.13, 5.13]","07 [1.13, 1.65]",3921,0.000510,0.0005816226453
HIGH,Video/Internet,Kansas City / Lincoln,"03 [0.5976, 1.1236]","08 [28.685, 40.36]","03 [0.26, 0.41]",2249,0.000445,0.0008927215109
HIGH,Internet/Voice,East Florida,"06 [3.2313, 5.4348]","02 [2.13, 5.13]","01 [0.009, 0.13]",3522,0.000284,0.0007854952466
LOW,Internet/Voice,Western NY,"08 [9.1684, 16.5179]","08 [28.685, 40.36]","08 [1.65, 2.80]",409,0.000000,0.0006799361666
HIGH,Internet/Voice,Minnesota,"03 [0.5976, 1.1236]","05 [12.29, 16.54]","05 [0.59, 0.81]",3684,0.000000,0.0003477796669
ZERO,Internet Only,So Cal Central,"01 [0.0, 0.0]","06 [16.54, 21.71]","08 [1.65, 2.80]",4526,0.000442,0.0005575488772
HIGH,Video/Internet/Voice,Eastern NC,"01 [0.0, 0.0]","01 [0.02, 2.13]","06 [0.81, 1.13]",4383,0.002282,0.00180284802
HIGH,Video/Internet,Western NC,"02 [0.1236, 0.597]","07 [21.71, 28.68]","01 [0.009, 0.13]",438,0.000000,0.001042555331
ZERO,Video/Internet,Northern New England,NULL,"03 [5.13, 8.53]","09 [2.80, 440.64]",104,0.000000,0.00109567541
